ticker,name,index
EOG,EOG,SP500_NASDAQ
EPAM,EPAM,SP500_NASDAQ
EQIX,EQIX,SP500_NASDAQ
EQR,EQR,SP500_NASDAQ
EQT,EQT,SP500_NASDAQ
ERIE,ERIE,SP500_NASDAQ
ES,ES,SP500_NASDAQ
ESS,ESS,SP500_NASDAQ
ETN,ETN,SP500_NASDAQ
ETR,ETR,SP500_NASDAQ
EVRG,EVRG,SP500_NASDAQ
EW,EW,SP500_NASDAQ
EXC,EXC,SP500_NASDAQ
EXE,EXE,SP500_NASDAQ
EXPD,EXPD,SP500_NASDAQ
EXPE,EXPE,SP500_NASDAQ
EXR,EXR,SP500_NASDAQ
F,F,SP500_NASDAQ
FANG,FANG,SP500_NASDAQ
FAST,FAST,SP500_NASDAQ
FCX,FCX,SP500_NASDAQ
FDS,FDS,SP500_NASDAQ
FDX,FDX,SP500_NASDAQ
FE,FE,SP500_NASDAQ
FER,FER,SP500_NASDAQ
FFIV,FFIV,SP500_NASDAQ
FICO,FICO,SP500_NASDAQ
FIS,FIS,SP500_NASDAQ
FISV,FISV,SP500_NASDAQ
FITB,FITB,SP500_NASDAQ
FIX,FIX,SP500_NASDAQ
FOX,FOX,SP500_NASDAQ
FOXA,FOXA,SP500_NASDAQ
FRT,FRT,SP500_NASDAQ
FSLR,FSLR,SP500_NASDAQ
FTNT,FTNT,SP500_NASDAQ
FTV,FTV,SP500_NASDAQ
GD,GD,SP500_NASDAQ
GDDY,GDDY,SP500_NASDAQ
GE,GE,SP500_NASDAQ
GEHC,GEHC,SP500_NASDAQ
GEN,GEN,SP500_NASDAQ
GEV,GEV,SP500_NASDAQ
GILD,GILD,SP500_NASDAQ
GIS,GIS,SP500_NASDAQ
GL,GL,SP500_NASDAQ
GLW,GLW,SP500_NASDAQ
GM,GM,SP500_NASDAQ
GNRC,GNRC,SP500_NASDAQ
GOOG,GOOG,SP500_NASDAQ
GOOGL,GOOGL,SP500_NASDAQ
GPC,GPC,SP500_NASDAQ
GPN,GPN,SP500_NASDAQ
GRMN,GRMN,SP500_NASDAQ
GS,GS,SP500_NASDAQ
GWW,GWW,SP500_NASDAQ
HAL,HAL,SP500_NASDAQ
HAS,HAS,SP500_NASDAQ
HBAN,HBAN,SP500_NASDAQ
HCA,HCA,SP500_NASDAQ
HD,HD,SP500_NASDAQ
HIG,HIG,SP500_NASDAQ
HII,HII,SP500_NASDAQ
HLT,HLT,SP500_NASDAQ
HOLX,HOLX,SP500_NASDAQ
HON,HON,SP500_NASDAQ
HOOD,HOOD,SP500_NASDAQ
HPE,HPE,SP500_NASDAQ
HPQ,HPQ,SP500_NASDAQ
HRL,HRL,SP500_NASDAQ
HSIC,HSIC,SP500_NASDAQ
HST,HST,SP500_NASDAQ
HSY,HSY,SP500_NASDAQ
HUBB,HUBB,SP500_NASDAQ
HUM,HUM,SP500_NASDAQ
HWM,HWM,SP500_NASDAQ
IBKR,IBKR,SP500_NASDAQ
IBM,IBM,SP500_NASDAQ
ICE,ICE,SP500_NASDAQ
IDXX,IDXX,SP500_NASDAQ
IEX,IEX,SP500_NASDAQ
IFF,IFF,SP500_NASDAQ
INCY,INCY,SP500_NASDAQ
INSM,INSM,SP500_NASDAQ
INTC,INTC,SP500_NASDAQ
INTU,INTU,SP500_NASDAQ
INVH,INVH,SP500_NASDAQ
IP,IP,SP500_NASDAQ
IQV,IQV,SP500_NASDAQ
IR,IR,SP500_NASDAQ
IRM,IRM,SP500_NASDAQ
ISRG,ISRG,SP500_NASDAQ
IT,IT,SP500_NASDAQ
ITW,ITW,SP500_NASDAQ
IVZ,IVZ,SP500_NASDAQ
J,J,SP500_NASDAQ
JBHT,JBHT,SP500_NASDAQ
JBL,JBL,SP500_NASDAQ
JCI,JCI,SP500_NASDAQ
JKHY,JKHY,SP500_NASDAQ
JNJ,JNJ,SP500_NASDAQ
JPM,JPM,SP500_NASDAQ
KDP,KDP,SP500_NASDAQ
KEY,KEY,SP500_NASDAQ
KEYS,KEYS,SP500_NASDAQ
KHC,KHC,SP500_NASDAQ
KIM,KIM,SP500_NASDAQ
KKR,KKR,SP500_NASDAQ
KLAC,KLAC,SP500_NASDAQ
KMB,KMB,SP500_NASDAQ
KMI,KMI,SP500_NASDAQ
KO,KO,SP500_NASDAQ
KR,KR,SP500_NASDAQ
KVUE,KVUE,SP500_NASDAQ
L,L,SP500_NASDAQ
LDOS,LDOS,SP500_NASDAQ
LEN,LEN,SP500_NASDAQ
LH,LH,SP500_NASDAQ
LHX,LHX,SP500_NASDAQ
LII,LII,SP500_NASDAQ
LIN,LIN,SP500_NASDAQ
LLY,LLY,SP500_NASDAQ
LMT,LMT,SP500_NASDAQ
LNT,LNT,SP500_NASDAQ
LOW,LOW,SP500_NASDAQ
LRCX,LRCX,SP500_NASDAQ
LULU,LULU,SP500_NASDAQ
LUV,LUV,SP500_NASDAQ
LVS,LVS,SP500_NASDAQ
LW,LW,SP500_NASDAQ
LYB,LYB,SP500_NASDAQ
LYV,LYV,SP500_NASDAQ
MA,MA,SP500_NASDAQ
MAA,MAA,SP500_NASDAQ
MAR,MAR,SP500_NASDAQ
MAS,MAS,SP500_NASDAQ
MCD,MCD,SP500_NASDAQ
MCHP,MCHP,SP500_NASDAQ
MCK,MCK,SP500_NASDAQ
MCO,MCO,SP500_NASDAQ
MDLZ,MDLZ,SP500_NASDAQ
MDT,MDT,SP500_NASDAQ
